Id,Name,IsTaxDeductible,CampusId,ParentAccountId
13,*International Missions,False,,
138,Abundance,False,,
47,Africa04 (Amanda),False,,
48,Africa05,False,,
126,Beach Reach,False,,
139,Best Summer Ever,False,,
3,Booktable Revenue,False,,
5,Building Fund (East),False,,
128,Building Fund (Midtown),False,,
119,Central Asia 01,False,,
120,Christmas Offering (MT),False,,
4,College Scholarship Fund,False,,
118,Deep Church (East),False,,
74,Disaster Relief,False,,
109,East Asia 01,False,,
110,East Asia 02,False,,
113,East Asia 03,False,,
122,East Asia STM,False,,
130,East VBS Donations,False,,
50,England ST Missions,False,,
143,Europe Vision Trip,False,,
97,Festival of Lights STM,False,,
144,France Midterm,False,,
94,France04,False,,
100,France05,False,,
111,France06,False,,
1,General Fund,False,,
85,General Fund (East),False,,
86,General Fund (Jtown),False,,
91,General Fund (Midtown),False,,
87,General Fund (New Albany),False,,
115,Germany GT,False,,
6,GL Intern 1-Matt Galyon,False,,
7,GL Intern 2- Eric Spann,False,,
8,Haiti Relief,False,,
131,Harbor Institute,False,,
51,Himalayan ST Missions,False,,
52,Horn of Africa GT,False,,
98,Horn of Africa STM #2,False,,
9,Intern Funds: CP Intern 1,False,,
10,Intern Funds: Intern 507,False,,
11,Intern Funds: Intern 510,False,,
12,Intern Funds: Intern 6 (2,False,,
83,Internships : CP In,False,,
30,Internships : CP Intern 2,False,,
31,Internships : CP Intern 3,False,,
84,Internships : GL In,False,,
32,Internships : GL Intern 3,False,,
33,Internships : Intern 1,False,,
34,Internships : Intern 10,False,,
35,Internships : Intern 3,False,,
36,Internships : Intern 4,False,,
37,Internships : Intern 502,False,,
38,Internships : Intern 505,False,,
39,Internships : Intern 508,False,,
40,Internships : Intern 7,False,,
41,Internships : Intern 8,False,,
42,Internships : Intern 9,False,,
14,Intr Miss: Africa 1,False,,
15,Intr Miss: Africa 2 (Mill,False,,
16,Intr Miss: Ethiopia 1,False,,
17,Intr Miss: Ethiopia 2/3,False,,
18,Intr Miss: Ethiopia 4/5,False,,
19,Intr Miss: Ethiopia 8,False,,
20,Intr Miss: Europe 1/2,False,,
21,Intr Miss: Europe 4,False,,
22,Intr Miss: Europe 5/6,False,,
23,Intr Miss: Europe 7,False,,
24,Intr Miss: Europe 8/9,False,,
25,Intr Miss: France01 (Leig,False,,
26,Intr Miss: France02 (Lewi,False,,
27,Intr Miss: France03 (Wain,False,,
28,Intr Miss: Mexico Missio,False,,
29,Intr Miss: Missions 1 (Jo,False,,
129,Jtown VBS Donations,False,,
107,London STM,False,,
53,Louisville ST Missions,False,,
95,Lyon STM #1,False,,
127,Making Room (JTown),False,,
93,Media Trip- ST Missions,False,,
78,Mercy,False,,
132,MERCY (Midtown),False,,
117,Mexico,False,,
123,Mexico College GT,False,,
114,Miami GT,False,,
43,Ministry Expenses: Creati,False,,
44,Ministry Revenues,False,,
45,Missions - Special Offeri,False,,
46,Missions Funds,False,,
54,Nepal GT,False,,
140,New Albany Horn GT,False,,
55,North Africa,False,,
58,Old Benevolence,False,,
59,Old Cosper,False,,
60,Old Crossing,False,,
61,Old Disaster Relief,False,,
62,Old Figgins,False,,
63,Old General,False,,
64,Old Groce,False,,
65,Old International,False,,
66,Old Internship,False,,
67,Old Meador,False,,
68,Old Meeks,False,,
69,Old Nadus,False,,
70,Old Nye,False,,
71,Old Quillo,False,,
72,Places,False,,
73,Quest Intern- Jeremy Isom,False,,
142,Renovations (New Albany),False,,
75,Revenues: Disaster Relief,False,,
76,Revenues: Sojourn Network,False,,
77,S2 Summer Missions,False,,
136,Seed To Oaks,False,,
56,Sheffield01,False,,
141,SI Global Retreat,False,,
121,Slovenia,False,,
108,Sojourn Toulouse,False,,
57,Southern France STM,False,,
125,Spain GT,False,,
106,Spec Off- Ethiopia Bibles,False,,
79,Special Offerings,False,,
101,Thailand STM,False,,
112,The Nepal Project,False,,
80,Urban Experience,False,,
116,URBN Experience 01,False,,
99,VBS Donations,False,,
2,Vision III,False,,
81,Vision I-II,False,,
88,Vision III (East),False,,
89,Vision III (Jtown),False,,
92,Vision III (Midtown),False,,
90,Vision III (New Albany),False,,
82,Year-End Giving,False,,
103,Year-End Giving (East),False,,
104,Year-End Giving (Jtown),False,,
102,Year-End Giving (Midtown),False,,
105,Year-End Giving (NA),False,,
